tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0000001	short	Carmencita	Carmencita	0	1894	\N	1	Documentary,Short
tt0000002	short	Le clown et ses chiens	Le clown et ses chiens	0	1892	\N	5	Animation,Short
tt0000003	short	Pauvre Pierrot	Pauvre Pierrot	0	1892	\N	4	Animation,Comedy,Romance
tt0000004	short	Un bon bock	Un bon bock	0	1892	\N	\N	Animation,Short
tt0000005	short	Blacksmith Scene	Blacksmith Scene	0	1893	\N	1	Short
tt0000006	short	Chinese Opium Den	Chinese Opium Den	0	1894	\N	1	Short
tt0000007	short	Corbett and Courtney Before the Kinetograph	Corbett and Courtney Before the Kinetograph	0	1894	\N	1	Short,Sport
tt0000008	short	Edison Kinetoscopic Record of a Sneeze	Edison Kinetoscopic Record of a Sneeze	0	1894	\N	1	Documentary,Short
tt0000009	movie	Miss Jerry	Miss Jerry	0	1894	\N	45	Romance
tt0000010	short	Employees Leaving the Lumière Factory	La sortie de l'usine Lumière à Lyon	0	1895	\N	1	Documentary,Short
tt0000011	short	Akrobatisches Potpourri	Akrobatisches Potpourri	0	1895	\N	1	Documentary,Short
tt0000012	short	The Arrival of a Train	L'arrivée d'un train à La Ciotat	0	1896	\N	1	Documentary,Short
tt0000013	short	The Photographical Congress Arrives in Lyon	Neuville-sur-Saône: Débarquement du congrès des photographes à Lyon	0	1895	\N	1	Documentary,Short
tt0000014	short	Tables Turned on the Gardener	L'arroseur arrosé	0	1895	\N	1	Comedy,Short
tt0000015	short	Autour d'une cabine	Autour d'une cabine	0	1894	\N	2	Animation,Short
tt0000016	short	Barque sortant du port	Barque sortant du port	0	1895	\N	1	Documentary,Short
tt0000017	short	Italienischer Bauerntanz	Italienischer Bauerntanz	0	1895	\N	1	Documentary,Short
tt0000018	short	Das boxende Känguruh	Das boxende Känguruh	0	1895	\N	1	Short
tt0000019	short	The Clown Barber	The Clown Barber	0	1898	\N	\N	Comedy,Short
tt0000020	short	The Derby 1895	The Derby 1895	0	1895	\N	1	Documentary,Short,Sport
tt0000022	short	Blacksmith Scene	Les forgerons	0	1895	\N	1	Documentary,Short
tt0000023	short	The Sea	Baignade en mer	0	1895	\N	1	Documentary,Short
tt0000024	short	Opening of the Kiel Canal	Opening of the Kiel Canal	0	1895	\N	\N	News,Short
tt0000025	short	The Oxford and Cambridge University Boat Race	The Oxford and Cambridge University Boat Race	0	1895	\N	\N	News,Short,Sport
tt0000026	short	The Messers. Lumière at Cards	Partie d'écarté	0	1896	\N	1	Documentary,Short
tt0000027	short	Cordeliers' Square in Lyon	Place des Cordeliers à Lyon	0	1895	\N	1	Documentary,Short
tt0000028	short	Fishing for Goldfish	La pêche aux poissons rouges	0	1895	\N	1	Documentary,Short
tt0000029	short	Baby's Dinner	Repas de bébé	0	1895	\N	1	Documentary,Short
tt0000030	short	Rough Sea at Dover	Rough Sea at Dover	0	1895	\N	1	Documentary,Short
tt0000031	short	Jumping the Blanket	Le saut à la couverture	0	1895	\N	1	Documentary,Short
tt0000032	short	Die Serpentintänzerin	Die Serpentintänzerin	0	1895	\N	1	Short
tt0000033	short	Trick Riding	La voltige	0	1895	\N	1	Comedy,Documentary,Short
tt0000034	short	Arrivée d'un train gare de Vincennes	Arrivée d'un train gare de Vincennes	0	1896	\N	\N	Documentary,Short
tt0000035	short	Watering the Flowers	L'arroseur	0	1896	\N	\N	Comedy,Short
tt0000036	short	Awakening of Rip	Awakening of Rip	0	1896	\N	0	Drama,Short
tt0000037	short	Sea Bathing	Baignade en mer	0	1896	\N	1	Short
tt0000038	short	The Ball Game	The Ball Game	0	1898	\N	\N	Documentary,Short,Sport
tt0000039	short	Barnet Horse Fair	Barnet Horse Fair	0	1896	\N	\N	Short
tt0000040	short	Barque sortant du port de Trouville	Barque sortant du port de Trouville	0	1896	\N	\N	Documentary,Short
tt0000041	short	Bataille de neige	Bataille de neige	0	1897	\N	1	Documentary,Short
tt0000042	short	Bateau-mouche sur la Seine	Bateau-mouche sur la Seine	0	1896	\N	\N	Documentary,Short
tt0000043	short	Batteuse à vapeur	Batteuse à vapeur	0	1896	\N	\N	Documentary,Short
tt0000044	short	Le bivouac	Le bivouac	0	1896	\N	\N	Short
tt0000045	short	Les blanchisseuses	Les blanchisseuses	0	1896	\N	\N	Short
tt0000046	short	Bois de Boulogne	Bois de Boulogne	0	1896	\N	\N	Documentary,Short
tt0000047	short	Boulevard des Italiens	Boulevard des Italiens	0	1896	\N	\N	Documentary,Short
tt0000048	short	The Boxing Kangaroo	The Boxing Kangaroo	0	1896	\N	\N	Short
tt0000049	short	Boxing Match; or, Glove Contest	Boxing Match; or, Glove Contest	0	1896	\N	\N	Short,Sport
tt0000050	short	Bébé et fillettes	Bébé et fillettes	0	1896	\N	\N	Documentary,Short
tt0000051	short	The Bohemian Encampment	Campement de bohémiens	0	1896	\N	\N	Documentary,Short
tt0000052	short	Carga de rurales	Carga de rurales	0	1896	\N	1	Documentary,Short
tt0000053	short	A Chegada do Comboio Inaugural à Estação Central do Porto	A Chegada do Comboio Inaugural à Estação Central do Porto	0	1897	\N	\N	Documentary,Short
tt0000054	short	A Merry-Go-Round	Les chevaux de bois	0	1896	\N	\N	Short
tt0000055	short	Le chiffonnier	Le chiffonnier	0	1896	\N	\N	Short
tt0000056	short	Uma Corrida de Touros no Campo Pequeno	Uma Corrida de Touros no Campo Pequeno	0	1896	\N	\N	Short
tt0000057	short	Cortège de tzar allant à Versailles	Cortège de tzar allant à Versailles	0	1896	\N	\N	Documentary,Short
tt0000058	short	Cortège de tzar au Bois de Boulogne	Cortège de tzar au Bois de Boulogne	0	1896	\N	\N	Documentary,Short
tt0000059	short	Coronation of a Village Maiden	Couronnement de la rosière	0	1896	\N	\N	Short
tt0000060	short	Dancing Darkies	Dancing Darkies	0	1896	\N	\N	Documentary,Short
tt0000061	short	Dancing Girls	Dancing Girls	0	1896	\N	\N	Short
tt0000062	short	Danse serpentine	Danse serpentine	0	1896	\N	\N	Short
tt0000063	short	Dessinateur express	Dessinateur express	0	1896	\N	\N	Short
tt0000064	short	Dessinateur: Chamberlain	Dessinateur: Chamberlain	0	1896	\N	\N	Short
tt0000065	short	Dessinateur: Reine Victoria	Dessinateur: Reine Victoria	0	1896	\N	\N	Short
tt0000066	short	Dessinateur: Von Bismark	Dessinateur: Von Bismark	0	1896	\N	\N	Short
tt0000067	short	Conjurer Making Ten Hats in Sixty Seconds	Dix chapeaux en 60 secondes	0	1896	\N	\N	Fantasy,Short
tt0000068	short	Unloading the Boat	Déchargement de bateaux	0	1896	\N	\N	Documentary,Short
tt0000069	short	Post No Bills	Défense d'afficher	0	1896	\N	1	Short
tt0000070	short	Démolition d'un mur	Démolition d'un mur	0	1896	\N	1	Documentary,Short
tt0000071	short	Automobiles Starting a Race	Départ des automobiles	0	1896	\N	\N	Short,Sport
tt0000072	short	Officers of French Army Leaving Service	Départ des officiers	0	1896	\N	\N	Short
tt0000073	short	Effets de mer sur les rochers	Effets de mer sur les rochers	0	1896	\N	\N	Documentary,Short
tt0000074	short	Enfants jouant sur la plage	Enfants jouant sur la plage	0	1896	\N	\N	Documentary,Short
tt0000075	short	The Conjuring of a Woman at the House of Robert Houdin	Escamotage d'une dame au théâtre Robert Houdin	0	1896	\N	1	Horror,Short
tt0000076	short	Exit of Rip and the Dwarf	Exit of Rip and the Dwarf	0	1896	\N	1	Drama,Short
tt0000077	short	Le fakir, mystère indien	Le fakir, mystère indien	0	1896	\N	\N	Short
tt0000078	short	Feira de Gado na Corujeira	Feira de Gado na Corujeira	0	1896	\N	1	Documentary,Short
tt0000079	short	La gare Saint-Lazare	La gare Saint-Lazare	0	1896	\N	\N	Documentary,Short
tt0000080	short	Grandes manoeuvres	Grandes manoeuvres	0	1896	\N	\N	Documentary,Short
tt0000081	short	Towing a Boat on the River	Les haleurs de bateaux	0	1896	\N	\N	Documentary,Short
tt0000082	short	A Hard Wash	A Hard Wash	0	1896	\N	\N	Comedy,Short
tt0000083	short	Les indiscrets	Les indiscrets	0	1896	\N	\N	Short
tt0000084	short	Les ivrognes	Les ivrognes	0	1896	\N	\N	Short
tt0000085	short	Gardener Burning Weeds	Jardinier brûlant des herbes	0	1896	\N	\N	Short
tt0000086	short	Beach and Pier at Trouville, 1st part	Jetée et plage de Trouville (1er partie)	0	1896	\N	\N	Documentary,Short
tt0000087	short	Beach and Pier at Trouville, 2nd part	Jetée et plage de Trouville (2e partie)	0	1896	\N	\N	Documentary,Short
tt0000088	short	Market Day	Jour de marché à Trouville	0	1896	\N	\N	Documentary,Short
tt0000089	short	Leaving Jerusalem by Railway	Départ de Jérusalem en chemin de fer	0	1897	\N	1	Documentary,Short
tt0000090	short	Libération des territoriaux	Libération des territoriaux	0	1896	\N	\N	Documentary,Short
tt0000091	short	The House of the Devil	Le manoir du diable	0	1896	\N	3	Horror,Short
tt0000092	short	Marée montante sur Brise-Larmes	Marée montante sur Brise-Larmes	0	1896	\N	\N	Documentary,Short
tt0000093	short	Melbourne	Melbourne	0	1896	\N	\N	Documentary,Short
tt0000094	short	Miss de Vere	Miss de Vere	0	1896	\N	\N	Short
tt0000095	short	The Mysterious Paper	Le papier protée	0	1896	\N	\N	Short
tt0000096	short	Place Saint-Augustin	Place Saint-Augustin	0	1896	\N	\N	Documentary,Short
tt0000097	short	Place de l'Opéra, First View	Place de l'Opéra, 1er aspect	0	1896	\N	\N	Documentary,Short
tt0000098	short	Place de l'Opéra, Second View	Place de l'Opéra, 2e aspect	0	1896	\N	\N	Documentary,Short
tt0000099	short	Place de la Bastille	Place de la Bastille	0	1896	\N	\N	Documentary,Short
tt0000100	short	Place de la Concorde	Place de la Concorde	0	1896	\N	\N	Documentary,Short
tt0000101	short	Place du théâtre français	Place du théâtre français	0	1896	\N	\N	Documentary,Short
tt0000102	short	The Beach at Villiers in a Gale	Plage de Villiers par gros temps	0	1896	\N	\N	Short
tt0000103	short	Smarter than the Teacher	Plus fort que le maître	0	1896	\N	\N	Short
tt0000104	short	Pompiers à Lyon	Pompiers à Lyon	0	1896	\N	1	Documentary,Short
tt0000105	short	The Docks at Marseilles	Les quais à Marseille	0	1896	\N	\N	Documentary,Short
tt0000106	short	Retour au cantonnement	Retour au cantonnement	0	1896	\N	\N	Short
tt0000107	short	Naval Review at Cherburg	Revue navale à Cherbourg	0	1896	\N	\N	Documentary,Short
tt0000108	short	Rip Leaving Sleepy Hollow	Rip Leaving Sleepy Hollow	0	1896	\N	1	Drama,Short
tt0000109	short	Rip Meeting the Dwarf	Rip Meeting the Dwarf	0	1896	\N	1	Fantasy,Short
tt0000110	short	Rip Passing Over the Mountain	Rip Passing Over the Mountain	0	1896	\N	1	Fantasy,Short
tt0000111	short	Rip's Toast	Rip's Toast	0	1896	\N	1	Drama,Short
tt0000112	short	Rip's Toast to Hudson	Rip's Toast to Hudson	0	1896	\N	1	Fantasy,Short
tt0000113	short	Rip's Twenty Years' Sleep	Rip's Twenty Years' Sleep	0	1896	\N	0	Drama,Short
tt0000114	short	French Regiment Going to the Parade	Le régiment	0	1896	\N	\N	Documentary,Short
tt0000115	short	Réunion d'officiers	Réunion d'officiers	0	1896	\N	\N	Documentary,Short
tt0000116	short	Sac au dos	Sac au dos	0	1896	\N	\N	Short
tt0000117	short	Saída do Pessoal Operário da Fábrica Confiança	Saída do Pessoal Operário da Fábrica Confiança	0	1896	\N	1	Documentary,Short
tt0000118	short	Salut malencontreux d'un déserteur	Salut malencontreux d'un déserteur	0	1896	\N	\N	Short
tt0000119	short	Rescue on the River, Pt. 2	Sauvetage en rivière, 1er	0	1896	\N	\N	Documentary,Short
tt0000120	short	Rescue on the River, Pt. 1	Sauvetage en rivière, 2e	0	1896	\N	\N	Documentary,Short
tt0000121	short	The Soldier's Courtship	The Soldier's Courtship	0	1896	\N	\N	Comedy,Short
tt0000122	short	Closing Hours at Vibert's Perfume Factory	Sortie des ateliers Vibert	0	1896	\N	\N	Documentary,Short
tt0000123	short	Conjuring	Séance de prestidigitation	0	1896	\N	\N	Short
tt0000124	short	Tempête sur la jetée du treport	Tempête sur la jetée du treport	0	1896	\N	\N	Documentary,Short
tt0000125	short	The Terrible Railway Accident	The Terrible Railway Accident	0	1896	\N	\N	Short
tt0000126	short	Tom Old Boot	Tom Old Boot	0	1896	\N	\N	Short
tt0000127	short	Les tribulations d'un concierge	Les tribulations d'un concierge	0	1896	\N	\N	Comedy,Short
tt0000128	short	Academy for Young Ladies	Un lycée de jeunes filles	0	1896	\N	\N	Short
tt0000129	short	Un petit diable	Un petit diable	0	1896	\N	\N	Short
tt0000130	short	Une altercation au café	Une altercation au café	0	1896	\N	\N	Short
tt0000131	short	A Terrible Night	Une nuit terrible	0	1896	\N	1	Comedy,Horror,Short
tt0000132	short	Card Party	Une partie de cartes	0	1896	\N	1	Biography,Short
tt0000133	short	La voiture du potier	La voiture du potier	0	1896	\N	\N	Short
tt0000134	short	The Wandering Negro Minstrels	The Wandering Negro Minstrels	0	1896	\N	\N	Music,Short
tt0000135	short	A Watermelon Feast	A Watermelon Feast	0	1896	\N	\N	Documentary,Short
tt0000136	short	L'arroseur arrosé	L'arroseur arrosé	0	1897	\N	1	Comedy,Short
tt0000137	short	Au réfectoire	Au réfectoire	0	1897	\N	\N	Comedy,Short
tt0000138	short	The Bewitched Inn	L'auberge ensorcelée	0	1897	\N	2	Comedy,Horror,Short
tt0000139	short	L'aveugle	L'aveugle	0	1897	\N	\N	Short
tt0000140	short	Baignade dans le torrent	Baignade dans le torrent	0	1897	\N	1	Short
tt0000141	short	Ballet libella	Ballet libella	0	1897	\N	\N	Documentary,Short
tt0000142	short	Buffalo Bill and Escort	Buffalo Bill and Escort	0	1897	\N	\N	News,Short
tt0000143	short	Les cambrioleurs	Les cambrioleurs	0	1897	\N	1	Comedy,Short
tt0000144	short	Chez le magnétiseur	Chez le magnétiseur	0	1897	\N	1	Comedy,Short
tt0000145	short	En classe	En classe	0	1897	\N	\N	Comedy,Short
tt0000146	short	Le cocher de fiacre endormi	Le cocher de fiacre endormi	0	1897	\N	\N	Comedy,Short
tt0000147	movie	The Corbett-Fitzsimmons Fight	The Corbett-Fitzsimmons Fight	0	1897	\N	20	Documentary,News,Sport
tt0000148	short	Le Coucher d'Yvette	Le Coucher d'Yvette	0	1897	\N	\N	Short
tt0000149	short	Behind the Scenes	Dans les coulisses	0	1897	\N	\N	Comedy,Short
tt0000150	short	Danse fleur de lotus	Danse fleur de lotus	0	1897	\N	1	Documentary,Short
tt0000151	short	Faust et Marguerite	Faust et Marguerite	0	1897	\N	\N	Short
tt0000152	short	The Hallucinated Alchemist	L'hallucination de l'alchimiste	0	1897	\N	2	Fantasy,Horror,Short
tt0000153	short	The Haunted Castle	The Haunted Castle	0	1897	\N	1	Horror,Short
tt0000154	short	Henley Regatta	Henley Regatta	0	1897	\N	\N	News,Short,Sport
tt0000155	short	The Hypnotist at Work	Le magnétiseur	0	1897	\N	\N	Short
tt0000156	short	A Badly Managed Hotel	L'hôtel empoisonné	0	1896	\N	\N	Comedy,Short
tt0000157	short	Idylle	Idylle	0	1897	\N	\N	Short
tt0000158	short	Idylle interrompue	Idylle interrompue	0	1897	\N	\N	Comedy,Short
tt0000159	short	The Devil's Laboratory	Le cabinet de Méphistophélès	0	1897	\N	1	Horror,Short
tt0000160	short	The Last Days of Pompeii	The Last Days of Pompeii	0	1900	\N	\N	Drama,Short
tt0000161	short	Leçon de danse	Leçon de danse	0	1897	\N	\N	Comedy,Short
tt0000162	short	Niagara Falls	Les chutes	0	1897	\N	1	Documentary,Short
tt0000163	short	Le planton du colonel	Le planton du colonel	0	1897	\N	\N	Comedy,Short
tt0000164	short	Le pêcheur dans le torrent	Le pêcheur dans le torrent	0	1897	\N	1	Comedy,Short
tt0000165	short	Riña en un café	Riña en un café	0	1897	\N	1	Short
tt0000166	short	Salida de los trabajadores de la fábrica España Industrial	Salida de los trabajadores de la fábrica España Industrial	0	1897	\N	1	Documentary,Short
tt0000167	short	Salida de misa de doce del Pilar de Zaragoza	Salida de misa de doce del Pilar de Zaragoza	0	1897	\N	\N	Documentary,Short
tt0000168	short	Salida del público de la iglesia parroquial de Santa María de Sans	Salida del público de la iglesia parroquial de Santa María de Sans	0	1897	\N	1	Documentary,Short
tt0000169	short	Slagsmål i gamla Stockholm	Slagsmål i gamla Stockholm	0	1897	\N	1	Short
tt0000170	short	The Twins' Tea Party	The Twins' Tea Party	0	1896	\N	1	Comedy,Short
tt0000171	short	Une nuit agitée	Une nuit agitée	0	1897	\N	\N	Comedy,Short
tt0000172	short	The X-Ray Fiend	The X-Ray Fiend	0	1897	\N	1	Comedy,Horror,Short
tt0000173	short	Battle of Santiago Bay	Battle of Santiago Bay	0	1898	\N	\N	Short,War
tt0000174	short	Výstavní párkar a lepic plakátù	Výstavní párkar a lepic plakátù	0	1898	\N	1	Comedy,Short
tt0000175	short	A Sea Cave Near Lisbon	A Sea Cave Near Lisbon	0	1896	\N	1	Documentary,Short
tt0000176	short	Brittania	Brittania	0	1898	\N	\N	Short
tt0000177	short	The Burglar on the Roof	The Burglar on the Roof	0	1898	\N	1	Crime,Short
tt0000178	short	The Cavalier's Dream	The Cavalier's Dream	0	1898	\N	1	Horror,Short
tt0000179	short	The Cave of the Demons	La caverne maudite	0	1898	\N	\N	Horror,Short
tt0000180	short	Le chemin de croix	Le chemin de croix	0	1898	\N	\N	Short
tt0000181	short	Cinderella	Cinderella	0	1898	\N	\N	Fantasy,Short
tt0000182	short	Come Along, Do!	Come Along, Do!	0	1898	\N	1	Comedy,Short
tt0000183	short	The Corsican Brothers	The Corsican Brothers	0	1898	\N	\N	Drama,Short
tt0000184	short	Cripple Creek Bar-Room Scene	Cripple Creek Bar-Room Scene	0	1899	\N	1	Short,Western
tt0000185	short	La crèche à Bethléem	La crèche à Bethléem	0	1898	\N	\N	Short
tt0000186	short	Le cuirassé Maine	Le cuirassé Maine	0	1898	\N	\N	Short,War
tt0000187	short	La cène	La cène	0	1898	\N	1	Short
tt0000188	short	The Deserter	The Deserter	0	1898	\N	\N	Drama,Short
tt0000189	short	Dorotea	Dorotea	0	1898	\N	\N	Short
tt0000190	short	Dostavenícko ve mlýnici	Dostavenícko ve mlýnici	0	1898	\N	1	Comedy,Short
tt0000191	short	Déménagement à la cloche de bois	Déménagement à la cloche de bois	0	1898	\N	\N	Short
tt0000192	short	Ella Lola, a la Trilby	Ella Lola, a la Trilby	0	1898	\N	\N	Short
tt0000193	short	L'entrée à Jérusalem	L'entrée à Jérusalem	0	1898	\N	\N	Short
tt0000194	short	Express Train on a Railway Cutting	Express Train on a Railway Cutting	0	1898	\N	\N	Documentary,Short
tt0000195	short	Les farces de Jocko	Les farces de Jocko	0	1898	\N	\N	Comedy,Short
tt0000196	short	Faust and Mephistopheles	Faust and Mephistopheles	0	1898	\N	\N	Fantasy,Short
tt0000197	short	La flagellation	La flagellation	0	1898	\N	\N	Short
tt0000198	short	La fuite en Égypte	La fuite en Égypte	0	1898	\N	\N	Short
tt0000199	short	Glasgow Fire Engine	Glasgow Fire Engine	0	1898	\N	\N	Short
tt0000200	short	Gran corrida de toros	Gran corrida de toros	0	1898	\N	\N	Documentary,Short,Sport
tt7984526	tvEpisode	263.Bölüm	263.Bölüm	0	2016	\N	\N	Drama,Romance
tt7984530	tvEpisode	264.Bölüm	264.Bölüm	0	2016	\N	\N	Drama,Romance
tt7984532	tvEpisode	Episode #1.4	Episode #1.4	0	1987	\N	\N	Drama,History
